procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4 13  31812 5784772  23456 17636476    0    0 34160 18408 15341 24236 16  4 47 33  0
 0 10  31812 5658860  23616 17761608    0    0 17930 47860 8197 12584  6  3 51 40  0
 0  8  31812 5629100  23664 17791068    0    0    10 78564 3183 4664  1  1 64 34  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  7  31812 5569456  23736 17847092    0    0    10 64118 5363 8570  1  2 56 40  0
 1 18  31812 5500336  23816 17908292    0    0  7120 50408 4397 6278  8  2 48 43  0
 1 18  31812 5392572  23948 18012452    0    0 24236 27150 5856 8089  9  2 48 41  0
 1 18  31812 5297952  24096 18102560    0    0 16538 28650 5193 7670  8  2 49 41  0
 1 14  31812 5151204  24256 18242412    0    0 16640 32806 7940 12035 10  3 45 42  0
 0 19  31812 5039056  24384 18350588    0    0 14720 35024 6255 8959  8  3 42 47  0
 0 24  31812 4995068  24456 18391392    0    0  9288 32288 3000 4241  6  1 24 68  0
 0 23  31812 4921880  24544 18463836    0    0  9982 35806 5093 7279  4  2 30 64  0
 1 16  31812 4834524  24640 18546816    0    0 11540 37450 4749 7365  7  2 26 65  0
 0 19  31812 4740452  24748 18634704    0    0 10862 45460 5760 8641  6  2 37 55  0
 0 17  31812 4669024  24840 18705284    0    0 11684 45876 4503 6139  6  2 39 53  0
 3 13  31812 4591284  24940 18779624    0    0 17876 38572 4486 6109  8  2 48 42  0
 3 17  31812 4512784  25056 18857024    0    0 18414 26716 4412 5885  9  1 46 44  0
 1 15  31812 4429376  25156 18937528    0    0 20216 26196 4544 6008  9  2 43 47  0
 0 16  31812 4340952  25292 19020804    0    0 19418 34670 4978 6202  9  2 54 35  0
 2 14  31812 4210832  25424 19120632    0    0 24800 22534 5849 7173 10  2 56 32  0
 1 15  31812 4118096  25544 19208284    0    0 21758 28122 4623 6463 10  2 46 42  0
 1 13  31812 4023184  25672 19300516    0    0 23696 25858 4540 6575 10  2 55 33  0
 1 14  31812 3897524  25824 19421912    0    0 25126 31166 6831 9812 11  2 52 36  0
 0 18  31812 3831956  25912 19484676    0    0  5994 54858 5556 7686  6  2 58 35  0
 1 14  31812 3749668  26000 19563408    0    0 10960 47452 5987 8644  5  2 59 34  0
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1 16  31812 3695144  26108 19616112    0    0 11294 41446 3668 5492  6  1 49 44  0
 1 13  31812 3603796  26220 19698376    0    0 12610 37484 5435 7696  7  2 53 39  0
 2 15  31812 3512960  26336 19784068    0    0 22100 26926 4416 6370 10  2 53 36  0
 0  8  31812 3475068  26408 19823516    0    0 11946 40344 2549 3659  3  1 62 34  0
 0  6  31812 3471696  26428 19827808    0    0   586 69704 1504 2314  0  1 74 25  0
 0 24  31812 3408972  26528 19884008    0    0  9070 53338 4382 5948  8  2 52 38  0
 0 18  31812 3329600  26636 19963696    0    0 10352 38938 5862 8257  6  2 47 45  0
 2 16  31812 3182120  26808 20102972    0    0 19780 33454 8122 11695 10  3 50 37  0
 1 16  31812 3073736  26940 20205092    0    0 10550 38136 6650 9774  6  3 50 41  0
 1 16  31812 2965776  27080 20311404    0    0 11112 26924 6759 10468  6  2 55 36  0
 0 17  31812 2817532  27204 20428204    0    0 22176 34842 6500 9414  9  2 46 42  0
