procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2 183708 4835468  11388 18027152    0    0 22784 12866 9213 9402  9  2 77 12  0	
 2  3 183708 4687860  11404 18169940    0    0 28866 44816 11768 11072 12  2 71 15  0	
 1  4 183708 4524664  11408 18315880    0    0 27458 29516 12362 12161 12  2 73 13  0	
 1  1 183708 4357380  11408 18482072    0    0 23488 28670 13315 15048 11  2 70 17  0	
 3  3 183708 4157368  11428 18678596    0    0 29060 42926 14718 17651 12  3 73 12  0	
 5  4 183708 3972888  11432 18859164    0    0 30400 36806 12947 13616 13  2 74 11  0	
 1  2 183708 3786576  11440 19026224    0    0 30018   530 12264 13410 13  3 74 10  0	
 4  3 183708 3593872  11456 19211584    0    0 36868 43812 14342 14134 15  2 66 17  0	
 6  4 183708 3433408  11460 19370328    0    0 37826 21804 12280 10047 16  2 67 16  0	
 5  2 183708 3267992  11468 19532804    0    0 40704    30 13465 9969 16  2 72 10  0	
 2  2 183708 3081660  11468 19695300    0    0 40002     4 14821 8772 15  2 73 10  0	
 4  4 183708 2913840  11496 19857208    0    0 29380 52398 12603 13495 12  2 69 16  0	
 1  3 183708 2652564  11500 20113724    0    0 40064  4588 17726 20566 18  3 59 19  0	
 5  5 183708 2389364  11500 20354008    0    0 39040     0 15510 17600 17  3 62 18  0	
 0  1 183708 2213440  11516 20525248    0    0 30850 37496 11905 13005 12  2 71 15  0	
 1  2 183708 2091796  11520 20646436    0    0 26560   558 8458 9381 11  2 73 15  0	
procs -----------memory---------- ---swap-- -----io---- --system-- -----cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 183708 1944500  11536 20791612    0    0 25988  7140 10162 12072 10  2 84  4  0	
 1  0 183708 1778324  11544 20937420    0    0 26176    70 10689 11434 11  2 82  5  0	
 2  2 183708 1658912  11548 21051508    0    0 21442 52994 9506 9765  8  2 83  6  0	
