procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  4  11672 145336  29216 20933312    0    0 40360 20782 10275 5946 14  1 68 17  0
 5  3  11672 142600  29332 20936368    0    0 27058 13244 7345 4326 11  1 73 16  0
 4  3  11672 147016  29484 20921700    0    0 37006 14192 9034 5069 14  1 70 15  0
 8  4  11672 145800  29636 20922444    0    0 35686 21574 9387 5818 13  1 71 16  0
 0  4  11672 144144  29760 20924768    0    0 17070 26636 7861 7060  7  1 81 11  0
18  3  11672 145048  29868 20923624    0    0 29322 20830 5540 4051 11  1 77 11  0
 7  2  11672 147176  29972 20913632    0    0 25112 20818 5456 4455 11  1 76 12  0
 0  2  11672 149000  30088 20910548    0    0 22168 35142 8074 5867  7  1 81 11  0
 1  2  11672 149000  30172 20910296    0    0  8714 27602 5758 4453  3  0 86 11  0
 8  2  11672 145648  30220 20912200    0    0  9734 49348 5300 3828  3  0 87 10  0
 2  3  11672 145496  30284 20912948    0    0 11688 46568 5500 4183  4  0 86 10  0
 3  2  11672 148064  30340 20910848    0    0  9968 55004 7338 4974  3  0 86 10  0
 0  3  11672 147304  30440 20909684    0    0 15670 34492 6173 3374  5  0 82 12  0
 3  2  11672 142896  30504 20913828    0    0 13114 51700 4963 2740  4  0 85 11  0
 0  2  11672 145016  30552 20914192    0    0 12046 41210 4656 2648  4  0 86  9  0
 1  2  11672 147736  30608 20904268    0    0 11784 51398 6844 5082  4  0 87  9  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2  11672 146680  30688 20905740    0    0 12562 36614 7841 7128  4  1 84 11  0
 6  3  11672 147904  30756 20905236    0    0 12968 30790 7975 6667  4  1 85 11  0
 0  2  11672 144400  30812 20906632    0    0 12018 41408 7040 5429  3  0 87 10  0
 1  3  11672 149256  30864 20902544    0    0 12322 51650 7797 6331  4  0 86  9  0
 1  5  11672 145464  30932 20906680    0    0 12454 50600 7657 5632  3  0 85 11  0
 4  2  11672 146224  31048 20906648    0    0 16364 30524 8564 5670  5  0 79 15  0
 6  3  11672 148200  31164 20905716    0    0 29340 19836 9473 6687 11  1 77 11  0
 5  3  11672 145008  31284 20901628    0    0 30746 25214 9819 6376 12  1 76 11  0
 2  3  11672 145616  31416 20900248    0    0 31136 28344 10365 6401 11  1 75 13  0
 3  3  11672 142432  31540 20904324    0    0 26782 32350 9912 6517  9  1 77 12  0
 1  4  11672 143184  31688 20902492    0    0 29886 19042 8629 5395 11  1 71 17  0
 5  2  11672 150936  31784 20884364    0    0 22782 36980 9397 6010  9  1 81  9  0
 2  3  11672 145008  31912 20890856    0    0 32314 26908 9800 6581 11  1 75 12  0
 2  4  11672 149256  32060 20883784    0    0 30392 27766 10422 6754 11  1 75 13  0
 0  2  11672 149256  32156 20885272    0    0 19174 38968 8067 6050  6  1 80 14  0
 2  2  11672 149688  32252 20883372    0    0 12168 46528 12692 9746  5  1 83 10  0
 2  2  11672 147848  32376 20879168    0    0 10510 45266 15765 12096  4  1 84 11  0
 1  2  11672 146936  32512 20881216    0    0 13970 45116 23350 18170  7  1 79 13  0
 2  3  11672 146024  32628 20881116    0    0 15120 45758 19871 14525  6  1 82 11  0
 7  3  11672 142248  32812 20886176    0    0 27190 30386 23541 17841 11  2 68 19  0
 1  5  11672 142520  32968 20885172    0    0 27632 46686 15572 13216 11  1 74 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- -----cpu------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  4  11672 142992  33136 20876156    0    0 39954  6770 11963 9259 17  1 61 21  0
 1  4  11672 146456  33284 20872688    0    0 33426 32026 11380 8362 12  1 68 19  0
 3  4  11672 146496  33464 20874672    0    0 41898 13712 13453 9092 16  1 65 17  0
 8  4  11672 149208  33612 20843804    0    0 30010 30784 12045 8555 13  1 69 17  0
 6  4  11672 145256  33836 20846816    0    0 46386  6692 16243 9621 16  1 63 20  0
 0  3  11672 145872  33912 20847100    0    0 19066 38258 7219 4281  6  1 51 42  0
